name,r50,r16,r84,theta50,theta16,theta84,phi50,phi16,phi84,vr50,vr16,vr84,vtheta50,vtheta16,vtheta84,vphi50,vphi16,vphi84
Aquarius II,105.16,101.98,108.45,144.97,144.91,145.03,61.71,61.49,61.95,43.23,23.04,62.78,-282.26,-522.21,-59.48,28.95,-223.08,297.43
Bootes I,63.61,60.79,66.53,13.60,13.26,13.91,-2.94,-3.01,-2.87,97.49,94.07,100.81,110.68,85.28,136.84,-126.00,-159.92,-93.60
Bootes II,39.79,38.25,41.42,10.37,9.90,10.81,-13.30,-13.96,-12.74,-48.09,-64.25,-31.56,-311.12,-379.38,-240.45,-246.89,-314.29,-176.40
Canes Venatici I,209.81,203.98,215.75,9.83,9.83,9.84,86.05,85.62,86.51,83.48,80.10,86.85,93.14,7.31,173.14,83.82,-2.30,163.41
Canes Venatici II,160.92,153.94,167.65,8.75,8.67,8.85,130.37,129.73,131.08,-93.16,-102.06,-84.73,-144.24,-281.64,-16.50,135.01,-46.09,306.64
Carina I,106.92,101.76,112.71,111.82,111.80,111.85,-104.63,-104.86,-104.38,-4.62,-7.52,-1.66,-164.96,-189.37,-143.01,-22.52,-40.76,-5.15
Carina II,38.30,37.90,38.65,106.69,106.67,106.71,-103.00,-103.19,-102.79,204.45,200.16,208.76,-228.60,-244.21,-213.14,195.57,182.00,209.89
Carina III,28.98,28.41,29.54,106.09,106.05,106.12,-107.18,-107.57,-106.80,46.62,40.03,53.06,-383.55,-403.68,-364.65,36.14,18.01,53.06
Coma Berenices I,43.18,41.76,44.69,14.86,14.48,15.24,-158.18,-158.78,-157.55,28.86,23.78,33.60,-252.63,-276.66,-230.74,104.48,79.19,130.11
Crater II,116.43,115.35,117.53,47.51,47.51,47.52,-82.27,-82.37,-82.19,-83.67,-87.27,-80.30,-77.00,-114.35,-38.52,-24.22,-63.25,16.29
Draco I,75.85,70.30,81.81,55.29,55.27,55.31,93.85,93.28,94.45,-88.48,-91.37,-85.64,124.08,118.41,129.75,-50.67,-64.22,-36.44
Draco II,22.35,19.65,25.17,52.54,51.56,53.78,125.43,122.41,128.88,-154.41,-166.50,-141.98,300.48,276.70,326.46,-68.83,-101.71,-37.21
Fornax,149.50,140.46,158.11,153.88,153.76,153.99,-129.06,-129.44,-128.73,-40.91,-42.37,-39.42,-104.50,-137.43,-73.69,112.52,84.24,140.90
Grus I,116.33,105.68,127.82,151.56,151.29,151.90,-24.51,-24.88,-24.22,-203.21,-210.23,-196.21,-187.51,-322.68,-53.63,123.73,10.09,234.51
Hercules,126.30,120.29,132.37,51.35,51.25,51.44,30.95,30.84,31.06,150.53,147.29,153.81,-10.02,-80.76,63.40,-54.76,-122.99,18.66
Horologium I,79.36,72.34,86.37,144.39,144.31,144.45,-99.09,-100.05,-98.24,-33.73,-39.21,-28.55,-193.41,-242.41,-146.77,0.56,-39.57,42.55
Hydra II,148.32,140.06,156.26,58.95,58.91,58.98,-67.62,-67.83,-67.45,129.28,108.11,150.38,-164.70,-452.49,117.08,-187.82,-584.07,205.12
Hydrus I,25.71,25.25,26.20,129.94,129.92,129.97,-84.39,-84.90,-83.86,-57.16,-60.48,-53.92,-328.93,-338.82,-319.30,-161.93,-170.49,-152.91
LMC,50.31,48.45,52.28,123.32,123.32,123.33,-90.70,-91.17,-90.27,63.05,58.77,67.35,-310.29,-328.32,-291.93,-40.87,-50.17,-32.57
Leo I,261.90,252.62,271.11,41.71,41.67,41.76,-135.82,-135.89,-135.74,168.59,165.45,171.65,24.38,-49.93,90.78,-71.42,-168.45,29.81
Leo II,235.15,220.60,250.32,24.07,23.98,24.17,-142.74,-142.94,-142.55,18.50,14.53,22.31,-71.97,-160.68,14.17,-14.00,-115.65,98.03
Leo IV,154.66,149.71,159.74,33.79,33.77,33.80,-99.75,-99.96,-99.56,13.82,-7.70,34.62,321.44,50.55,586.66,-183.61,-577.07,188.93
Leo V,173.96,168.96,178.54,31.85,31.84,31.87,-102.94,-103.12,-102.79,40.45,21.55,60.37,225.13,-126.32,598.60,236.29,-145.29,605.65
Pisces II,181.83,167.38,196.44,137.42,137.40,137.44,83.15,82.86,83.49,-79.65,-103.77,-55.29,173.63,-297.69,648.75,-356.76,-890.51,180.83
Reticulum II,32.76,31.43,34.13,136.88,136.65,137.07,-115.32,-116.27,-114.50,-99.79,-102.92,-96.76,-215.83,-234.94,-197.14,56.43,46.63,67.17
SMC,61.27,57.49,65.51,136.90,136.76,137.04,-66.83,-67.51,-66.21,-5.64,-8.04,-3.30,-245.29,-272.25,-219.03,-67.49,-84.63,-51.26
Sagittarius I,18.27,16.31,20.22,110.61,109.99,111.37,8.24,7.97,8.58,140.00,137.41,142.29,-275.20,-292.21,-257.97,-53.28,-74.64,-31.66
Sculptor,83.97,82.46,85.51,172.49,172.43,172.55,-119.74,-120.58,-118.89,74.96,73.36,76.59,169.65,155.21,183.59,-72.81,-87.90,-56.60
Segue 1,27.88,25.98,29.79,50.43,49.68,51.32,-153.76,-154.64,-152.99,116.83,111.10,122.71,142.06,110.79,176.60,141.99,111.79,175.94
Segue 2,42.45,40.11,44.83,121.88,121.50,122.22,156.13,155.79,156.51,72.82,68.32,77.38,-214.73,-239.95,-188.52,9.49,-20.65,38.17
Sextans,95.52,93.30,97.84,49.26,49.21,49.31,-122.18,-122.32,-122.03,79.20,76.59,81.83,-12.23,-30.58,5.34,-239.46,-261.05,-216.34
Triangulum II,34.73,33.08,36.35,109.16,108.91,109.38,150.01,149.61,150.46,-255.19,-260.24,-250.34,-175.75,-199.73,-152.17,-122.60,-148.12,-97.68
Tucana II,54.00,48.77,59.23,148.06,147.59,148.63,-40.85,-41.98,-39.96,-187.56,-191.70,-182.99,48.61,30.53,66.87,-207.98,-251.04,-167.50
Tucana III,23.04,21.11,24.90,154.50,154.23,154.71,-80.44,-84.69,-77.05,-228.09,-230.29,-225.83,28.18,7.03,47.49,48.25,34.64,59.30
Ursa Major I,102.14,96.26,107.80,38.98,38.78,39.20,161.93,161.81,162.08,11.49,7.72,15.14,165.70,110.97,219.74,206.09,145.27,268.73
Ursa Major II,40.85,38.85,43.06,58.79,58.44,59.14,158.64,158.34,158.95,-57.72,-60.55,-54.94,-280.33,-304.41,-256.61,32.58,15.59,52.46
Ursa Minor,78.16,74.21,82.11,46.50,46.42,46.60,112.86,112.48,113.30,-71.40,-74.22,-68.70,136.94,124.62,149.75,-11.45,-29.85,6.81
Willman 1,42.54,36.01,49.38,41.86,40.61,43.51,164.55,163.84,165.44,17.79,11.42,24.06,-106.42,-165.77,-58.86,-55.53,-115.17,19.45
